0.0267,0.2702,0.02979,0.29705,0.46935,0.05845,0.46494,0.01719,0.02497,0.1262,0.06062,0.4113,0.04825,0.38574,0.35856,0.38854,0.67258,0.57546,0.71564,0.56019,0.6408,0.15555,0.29313,0.32449,0.03703,0.10073,0.03097,0.87122,0.00143,0.36013,0.27618,0.0483,0.25856,0.09804,0.27884,0.53026,0.06712,0.25573,0.26821,0.41307,0.18957,0.06217,0.01007,0.32517,0.11698,0.08167,0.28026,0.28097,0.11438,0.0245,0.41302,0.18359,0.28104,0.31576,0.28302,0.2605,0.21572,0.42802,0.096,0.08733,0.46613,0.04611,0.04785,0.42118,0.50758,0.17006,0.31018,0.01826,0.72717,0.19113,0.22617,0.13266,0.5443,0.77851,0.63604,0.73152,0.40445,0.15462,0.02866,0.21825,0.00531,0.00749,0.19296,0.19148,0.07316,0.17819,0.19768,0.35136,0.03506,0.0112,0.01555,0.03222,0.22907,0.32307,0.30963,0.00633
0.02037,0.23338,0.02393,0.24684,0.42614,0.04231,0.42683,0.02189,0.01878,0.10925,0.04495,0.35774,0.03363,0.33883,0.3054,0.38529,0.64985,0.56367,0.72182,0.5801,0.66428,0.1701,0.25961,0.31626,0.04216,0.13013,0.02207,0.88116,0.00273,0.35777,0.26589,0.04676,0.22443,0.08135,0.28185,0.53774,0.07099,0.26198,0.28077,0.40416,0.17345,0.0614,0.01052,0.33098,0.11703,0.09657,0.28065,0.39221,0.14863,0.02234,0.49905,0.18686,0.28432,0.3059,0.26608,0.3316,0.19828,0.47948,0.07502,0.09032,0.47677,0.04927,0.06342,0.44646,0.50255,0.28586,0.26199,0.01904,0.73562,0.18582,0.2183,0.18525,0.57381,0.7862,0.61583,0.71278,0.40955,0.1558,0.02984,0.33539,0.00565,0.00791,0.19194,0.19918,0.09771,0.34781,0.29128,0.49773,0.03069,0.01202,0.01551,0.03453,0.37701,0.48898,0.44106,0.00937
0.01809,0.22603,0.02003,0.20465,0.37644,0.03113,0.37787,0.02366,0.01661,0.1041,0.03324,0.3169,0.02243,0.31107,0.24912,0.37853,0.64459,0.57086,0.72408,0.59873,0.68018,0.18319,0.2484,0.28729,0.04327,0.14753,0.01592,0.89491,0.00222,0.37008,0.27071,0.04117,0.21258,0.07078,0.27452,0.54437,0.06999,0.27241,0.29601,0.38383,0.15801,0.06114,0.01056,0.33609,0.11988,0.10959,0.28927,0.43045,0.15412,0.01971,0.55096,0.18981,0.28952,0.30428,0.26348,0.3288,0.19006,0.50021,0.06918,0.08965,0.48387,0.0555,0.07659,0.43487,0.48813,0.36238,0.21667,0.0189,0.74441,0.19311,0.22512,0.2433,0.59743,0.79211,0.61139,0.68447,0.41462,0.15785,0.02973,0.40183,0.00547,0.00909,0.1916,0.20398,0.10966,0.51886,0.33863,0.59249,0.02801,0.01006,0.016,0.03091,0.49126,0.61714,0.51732,0.01102
0.02052,0.24264,0.02166,0.16574,0.32854,0.0227,0.3298,0.0254,0.01716,0.10495,0.0254,0.28482,0.01584,0.29431,0.19955,0.36902,0.65494,0.60194,0.72255,0.61484,0.70232,0.21082,0.26972,0.24713,0.0476,0.17284,0.01385,0.90853,0.00194,0.43544,0.33988,0.0334,0.2321,0.06336,0.25974,0.56306,0.07172,0.28845,0.32048,0.35383,0.14726,0.06529,0.01254,0.34526,0.12136,0.12497,0.29513,0.42868,0.14416,0.01977,0.59521,0.19588,0.2951,0.33233,0.28476,0.2862,0.19261,0.50839,0.07638,0.09076,0.49929,0.08504,0.08556,0.40633,0.4649,0.40583,0.17349,0.0192,0.76581,0.24715,0.27242,0.29599,0.63669,0.79728,0.63566,0.66247,0.42734,0.1626,0.03213,0.42506,0.00648,0.0109,0.19129,0.19717,0.1333,0.62953,0.36624,0.62067,0.02881,0.01142,0.0168,0.03334,0.57066,0.69896,0.55548,0.01559
0.02108,0.24383,0.02423,0.13084,0.27346,0.01717,0.27635,0.02705,0.01687,0.09923,0.0186,0.24033,0.0114,0.25879,0.15136,0.34065,0.63828,0.62223,0.70601,0.62811,0.71112,0.26811,0.26988,0.19821,0.05687,0.22784,0.01098,0.91333,0.00275,0.54962,0.47748,0.02572,0.22971,0.05765,0.23514,0.57037,0.07278,0.28934,0.3432,0.31335,0.14114,0.06892,0.01483,0.34829,0.1249,0.14046,0.28754,0.39906,0.12738,0.02168,0.62623,0.1994,0.29945,0.34027,0.29177,0.22789,0.18673,0.49553,0.07617,0.09371,0.50359,0.14584,0.09239,0.3549,0.42487,0.44107,0.13171,0.02028,0.77001,0.35661,0.358,0.34094,0.68335,0.78067,0.62513,0.61584,0.43366,0.16465,0.03174,0.41457,0.00792,0.01957,0.18587,0.18091,0.18663,0.64862,0.37404,0.59164,0.02664,0.01352,0.02039,0.05096,0.66364,0.72777,0.54995,0.0269
0.02279,0.25303,0.02473,0.10501,0.23192,0.01337,0.2292,0.02803,0.01687,0.09693,0.01413,0.21108,0.00894,0.23561,0.11919,0.30948,0.6251,0.65561,0.68125,0.68765,0.72207,0.36375,0.28146,0.15794,0.07419,0.33175,0.00979,0.9202,0.00306,0.63591,0.59695,0.01965,0.24079,0.05357,0.20601,0.58325,0.07539,0.29285,0.35364,0.27272,0.1335,0.07756,0.01894,0.35547,0.1261,0.14728,0.27971,0.36121,0.11342,0.02176,0.6592,0.20369,0.30868,0.35723,0.30198,0.17742,0.18211,0.48039,0.08083,0.09693,0.51461,0.2042,0.09268,0.30388,0.38595,0.49455,0.10229,0.01941,0.78273,0.4471,0.43858,0.38589,0.75093,0.77238,0.62692,0.58637,0.4404,0.16956,0.03308,0.40139,0.00969,0.0413,0.19608,0.18617,0.28639,0.63435,0.3822,0.5512,0.02907,0.01442,0.02497,0.09792,0.77654,0.74645,0.53746,0.04331
0.03386,0.30453,0.02738,0.09253,0.20117,0.01167,0.19577,0.03139,0.02248,0.10834,0.01204,0.19712,0.00792,0.23193,0.09626,0.2738,0.63118,0.7104,0.6453,0.75577,0.71244,0.4572,0.34266,0.12526,0.09893,0.45447,0.00939,0.92087,0.00371,0.66246,0.63914,0.01412,0.30339,0.05162,0.17056,0.58587,0.0752,0.32415,0.34709,0.22463,0.12664,0.12748,0.03629,0.35605,0.12916,0.14514,0.3118,0.31683,0.1004,0.02035,0.68445,0.20565,0.30931,0.41244,0.35319,0.13464,0.18567,0.44723,0.11549,0.09858,0.51661,0.22953,0.08822,0.25023,0.33551,0.54359,0.08417,0.02018,0.7867,0.48819,0.48702,0.41669,0.79278,0.73973,0.65662,0.56663,0.44221,0.16904,0.03276,0.37584,0.01663,0.0911,0.28641,0.28286,0.41917,0.5935,0.38112,0.49202,0.04911,0.01553,0.04707,0.19369,0.83008,0.75243,0.50634,0.05451
0.06443,0.38811,0.03053,0.08398,0.17701,0.01002,0.16419,0.0323,0.0338,0.12598,0.01101,0.19034,0.00822,0.23475,0.07949,0.23476,0.6458,0.77778,0.58985,0.80555,0.6911,0.51969,0.44032,0.0953,0.12149,0.55826,0.00952,0.92254,0.00368,0.68448,0.66473,0.01027,0.39641,0.05298,0.12995,0.58646,0.075,0.40191,0.3501,0.17972,0.12071,0.25937,0.08737,0.35861,0.12742,0.14828,0.40848,0.26671,0.09112,0.0206,0.70004,0.20654,0.30897,0.48233,0.43171,0.09708,0.19601,0.40762,0.18714,0.0972,0.51805,0.24198,0.08978,0.1973,0.28629,0.58175,0.07061,0.02048,0.78649,0.51021,0.52332,0.42888,0.8107,0.6973,0.69696,0.55537,0.44459,0.17044,0.03351,0.33683,0.03307,0.17523,0.44063,0.46303,0.55711,0.5286,0.3804,0.43541,0.11288,0.01637,0.10497,0.35715,0.85424,0.75381,0.46593,0.05904
0.11796,0.45144,0.04667,0.07624,0.15824,0.00873,0.13576,0.03153,0.04384,0.14388,0.01034,0.1775,0.00609,0.22899,0.06518,0.18739,0.64432,0.82591,0.53662,0.83449,0.66063,0.54885,0.52811,0.06946,0.13348,0.60454,0.00903,0.92294,0.0022,0.70575,0.69935,0.00718,0.47364,0.05241,0.09625,0.58666,0.07344,0.45929,0.39222,0.13961,0.1165,0.40791,0.18936,0.35746,0.12542,0.17003,0.49282,0.21435,0.08401,0.02621,0.70938,0.20327,0.30832,0.52913,0.49147,0.0685,0.20744,0.36273,0.27694,0.0963,0.51747,0.25186,0.10318,0.14806,0.23999,0.60611,0.06163,0.01919,0.78458,0.52433,0.54301,0.42974,0.81935,0.65641,0.71371,0.54335,0.44188,0.16959,0.03241,0.29284,0.06304,0.28683,0.54366,0.58046,0.67213,0.45542,0.37799,0.36865,0.22399,0.02133,0.21108,0.54388,0.85951,0.74995,0.41427,0.05939
0.18671,0.48351,0.08564,0.07095,0.14421,0.00778,0.11629,0.03192,0.05046,0.14311,0.00898,0.16962,0.00591,0.22087,0.05901,0.14893,0.64261,0.84784,0.50198,0.84713,0.63864,0.56131,0.57588,0.05097,0.13903,0.6055,0.00803,0.92098,0.00295,0.73188,0.73371,0.00565,0.51897,0.05283,0.07639,0.58633,0.07215,0.48408,0.46141,0.11619,0.11435,0.5105,0.32913,0.35784,0.12532,0.21022,0.52798,0.17104,0.07863,0.04144,0.71664,0.20226,0.30571,0.54972,0.52534,0.05131,0.21577,0.33288,0.39227,0.09524,0.51788,0.25838,0.13674,0.11148,0.20873,0.61974,0.05438,0.01858,0.78062,0.53127,0.55276,0.43141,0.82144,0.62382,0.71899,0.53867,0.44203,0.16689,0.03127,0.25388,0.09491,0.43037,0.58684,0.6288,0.74936,0.38831,0.3774,0.31067,0.36909,0.03687,0.35577,0.69979,0.86691,0.75051,0.36791,0.05755
